exercicio,periodo,periodicidade,instituicao,cod_ibge,uf,co_poder,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-11>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),8583436638.94
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-10>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),9184850756.83
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-9>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),9060962553.39
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-8>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),9113527871.44
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-7>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),9916914604.21
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-6>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),10058917324.23
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-5>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),9666328014.72
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-4>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),10146084540.62
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-3>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),10227181091.15
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-2>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),9966150445.19
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-1>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),10170504419.02
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR>,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),18660032041.43
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,TOTAL (ÚLTIMOS 12 MESES) (a),DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),124754890301.17
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,INSCRITAS EM RESTOS A PAGAR NÃO PROCESSADOS (b),DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I),29859834.32
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-11>,DespesaComPessoalAtivoBruta,Pessoal Ativo,4610756250.27
2025,3,Q,Governo do Estado de São Paulo,35,SP,E,46024937,RGF-Anexo 01,E,Padrão,<MR-10>,DespesaComPessoalAtivoBruta,Pessoal Ativo,5048508886.84
