ano,UF,nome_estado,periodo_selecionado,registros,status,erros
2015,AC,Acre,3,18,ok,
2016,AC,Acre,3,21,ok,
2017,AC,Acre,3,25,ok,
2018,AC,Acre,3,235,ok,
2019,AC,Acre,3,228,ok,
2020,AC,Acre,3,229,ok,
2021,AC,Acre,3,209,ok,
2022,AC,Acre,3,217,ok,
2023,AC,Acre,3,224,ok,
2024,AC,Acre,3,233,ok,
2025,AC,Acre,3,238,ok,
2015,AL,Alagoas,3,22,ok,
2016,AL,Alagoas,3,19,ok,
2017,AL,Alagoas,3,21,ok,
2018,AL,Alagoas,3,208,ok,
2019,AL,Alagoas,3,200,ok,
2020,AL,Alagoas,3,211,ok,
2021,AL,Alagoas,3,197,ok,
2022,AL,Alagoas,3,194,ok,
2023,AL,Alagoas,3,200,ok,
2024,AL,Alagoas,3,201,ok,
2025,AL,Alagoas,3,195,ok,
2015,AP,Amapá,3,25,ok,
2016,AP,Amapá,3,18,ok,
2017,AP,Amapá,3,19,ok,
2018,AP,Amapá,3,162,ok,
2019,AP,Amapá,3,162,ok,
2020,AP,Amapá,3,164,ok,
2021,AP,Amapá,3,164,ok,
2022,AP,Amapá,3,159,ok,
2023,AP,Amapá,3,163,ok,
2024,AP,Amapá,3,161,ok,
2025,AP,Amapá,3,161,ok,
2015,AM,Amazonas,3,25,ok,
2016,AM,Amazonas,3,23,ok,
2017,AM,Amazonas,3,27,ok,
2018,AM,Amazonas,3,212,ok,
2019,AM,Amazonas,3,225,ok,
2020,AM,Amazonas,3,209,ok,
2021,AM,Amazonas,3,210,ok,
2022,AM,Amazonas,3,204,ok,
2023,AM,Amazonas,3,207,ok,
2024,AM,Amazonas,3,233,ok,
2025,AM,Amazonas,3,233,ok,
2015,BA,Bahia,3,20,ok,
2016,BA,Bahia,3,23,ok,
2017,BA,Bahia,3,25,ok,
2018,BA,Bahia,3,222,ok,
2019,BA,Bahia,3,221,ok,
2020,BA,Bahia,3,220,ok,
2021,BA,Bahia,3,198,ok,
2022,BA,Bahia,3,199,ok,
2023,BA,Bahia,3,198,ok,
2024,BA,Bahia,3,211,ok,
2025,BA,Bahia,3,214,ok,
2015,CE,Ceará,3,26,ok,
2016,CE,Ceará,3,22,ok,
2017,CE,Ceará,3,23,ok,
2018,CE,Ceará,3,186,ok,
2019,CE,Ceará,3,215,ok,
2020,CE,Ceará,3,190,ok,
2021,CE,Ceará,3,204,ok,
2022,CE,Ceará,3,205,ok,
2023,CE,Ceará,3,204,ok,
2024,CE,Ceará,3,216,ok,
2025,CE,Ceará,3,217,ok,
2015,DF,Distrito Federal,3,35,ok,
2016,DF,Distrito Federal,3,28,ok,
2017,DF,Distrito Federal,3,28,ok,
2018,DF,Distrito Federal,3,203,ok,
2019,DF,Distrito Federal,3,205,ok,
2020,DF,Distrito Federal,3,207,ok,
2021,DF,Distrito Federal,3,207,ok,
2022,DF,Distrito Federal,3,207,ok,
2023,DF,Distrito Federal,3,202,ok,
2024,DF,Distrito Federal,3,215,ok,
2025,DF,Distrito Federal,3,218,ok,
2015,ES,Espírito Santo,3,27,ok,
2016,ES,Espírito Santo,3,27,ok,
2017,ES,Espírito Santo,3,30,ok,
2018,ES,Espírito Santo,3,229,ok,
2019,ES,Espírito Santo,3,232,ok,
2020,ES,Espírito Santo,3,234,ok,
2021,ES,Espírito Santo,3,204,ok,
2022,ES,Espírito Santo,3,205,ok,
2023,ES,Espírito Santo,3,198,ok,
2024,ES,Espírito Santo,3,205,ok,
2025,ES,Espírito Santo,3,206,ok,
2015,GO,Goiás,3,26,ok,
2016,GO,Goiás,3,29,ok,
2017,GO,Goiás,3,30,ok,
2018,GO,Goiás,3,213,ok,
2019,GO,Goiás,3,227,ok,
2020,GO,Goiás,3,216,ok,
2021,GO,Goiás,3,207,ok,
2022,GO,Goiás,3,202,ok,
2023,GO,Goiás,3,205,ok,
2024,GO,Goiás,3,207,ok,
2025,GO,Goiás,3,205,ok,
2015,MA,Maranhão,3,18,ok,
2016,MA,Maranhão,3,25,ok,
2017,MA,Maranhão,3,23,ok,
2018,MA,Maranhão,3,199,ok,
2019,MA,Maranhão,3,192,ok,
2020,MA,Maranhão,3,208,ok,
2021,MA,Maranhão,3,187,ok,
2022,MA,Maranhão,3,189,ok,
2023,MA,Maranhão,3,187,ok,
2024,MA,Maranhão,3,181,ok,
2025,MA,Maranhão,3,195,ok,
2015,MT,Mato Grosso,3,25,ok,
