UF,nome_estado,regiao,anos_disponiveis,primeiro_ano,ultimo_ano,media_2015_2025,media_ultimos_3_anos,maior_valor,menor_valor,volatilidade_desvio_padrao,tendencia_historica_pp_ano,tendencia_recente_pp_ano,variacao_primeiro_ultimo_pp,media_margem_prudencial,media_margem_maximo,anos_acima_alerta,anos_acima_prudencial,anos_acima_maximo,taxa_alerta,score_nivel,score_margem_prudencial,score_margem_maximo,score_recorrencia,score_tendencia,score_volatilidade,score_fiscal,ranking_historico,grupo,tendencia_recente
MA,Maranhão,Nordeste,11,2015,2025,37.91090909090909,32.583333333333336,46.83,30.14,5.511162226872757,-1.3394545454543674,-3.214999999999967,-12.729999999999997,8.639090909090907,11.089090909090912,1,1,0,0.09090909090909091,1.0,1.0,1.0,0.9259259259259259,1.0,0.2222222222222222,91.11111111111111,1,GRUPO 1 – Melhor situação fiscal,melhora
ES,Espírito Santo,Sudeste,11,2015,2025,38.99090909090909,36.583333333333336,43.39,34.81,3.3588553244980774,-0.8545454545453544,-1.4399999999999704,-7.980000000000004,7.559090909090907,10.00909090909091,0,0,0,0.0,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,0.5925925925925926,0.5185185185185185,88.7037037037037,2,GRUPO 1 – Melhor situação fiscal,melhora
AP,Amapá,Norte,11,2015,2025,41.53272727272727,41.23,45.46,38.46,2.2064092589956688,-0.044000000000035455,-1.6299999999997017,-4.960000000000001,5.017272727272725,7.467272727272726,1,0,0,0.09090909090909091,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.7407407407407407,0.8888888888888888,87.96296296296295,3,GRUPO 1 – Melhor situação fiscal,melhora
CE,Ceará,Nordeste,11,2015,2025,42.23454545454546,43.06333333333333,45.93,39.01,1.9931551050350478,-0.07581818181825456,-1.904999999999851,-5.009999999999998,4.246363636363635,6.692727272727274,2,0,0,0.18181818181818182,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.8148148148148148,0.9629629629629629,83.51851851851852,4,GRUPO 1 – Melhor situação fiscal,melhora
RO,Rondônia,Norte,11,2015,2025,39.9,38.04333333333333,44.39,36.77,2.563817466201524,-0.6389999999999532,0.12999999999993336,-5.899999999999999,6.649999999999998,9.1,1,0,0,0.09090909090909091,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.1111111111111111,0.8148148148148148,83.33333333333333,5,GRUPO 1 – Melhor situação fiscal,estável
PA,Pará,Norte,11,2015,2025,42.407272727272726,40.28666666666666,47.33,38.07,3.3582915028600206,-0.8253636363635602,-2.0849999999998654,-9.259999999999998,3.7627272727272754,6.192727272727276,4,2,0,0.36363636363636365,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7037037037037037,0.8888888888888888,0.5555555555555556,71.66666666666667,6,GRUPO 1 – Melhor situação fiscal,melhora
BA,Bahia,Nordeste,11,2015,2025,41.970909090909096,40.663333333333334,47.61,35.57,3.9332949407473996,-0.8391818181817774,0.19000000000008038,-7.25,4.763000000000001,7.1930000000000005,3,1,0,0.2727272727272727,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.7962962962962963,0.07407407407407407,0.3333333333333333,71.38888888888889,7,GRUPO 1 – Melhor situação fiscal,deterioração
PI,Piauí,Nordeste,11,2015,2025,42.737272727272725,39.87,48.52,37.8,3.729962710025641,-0.6128181818180445,-1.1749999999997702,-4.900000000000006,3.81272727272727,6.262727272727273,3,3,0,0.2727272727272727,0.7037037037037037,0.7407407407407407,0.7407407407407407,0.7962962962962963,0.5185185185185185,0.4444444444444444,68.6111111111111,8,GRUPO 1 – Melhor situação fiscal,melhora
AL,Alagoas,Nordeste,11,2015,2025,42.771818181818176,39.28666666666667,48.69,35.6,4.890660115325574,-1.1728181818180476,-2.1200000000001724,-9.579999999999998,3.778181818181815,6.228181818181818,5,3,0,0.45454545454545453,0.6666666666666666,0.7037037037037037,0.7037037037037037,0.5925925925925926,0.9259259259259259,0.25925925925925924,65.37037037037037,9,GRUPO 1 – Melhor situação fiscal,melhora
DF,Distrito Federal,Centro-Oeste,11,2015,2025,42.56727272727272,38.61000000000001,46.82,34.8,3.6401568397778994,-0.8364545454544389,3.3299999999999055,-5.32,3.98272727272727,6.432727272727272,4,2,0,0.36363636363636365,0.7407407407407407,0.7777777777777778,0.7777777777777778,0.7037037037037037,0.037037037037037035,0.48148148148148145,65.18518518518518,10,GRUPO 2 – Situação intermediária,deterioração
SP,São Paulo,Sudeste,11,2015,2025,42.88909090909091,41.93666666666667,46.4,37.93,2.80923638928964,-0.5605454545454219,-0.5199999999999507,-4.990000000000002,3.6609090909090893,6.110909090909092,4,0,0,0.36363636363636365,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.7037037037037037,0.37037037037037035,0.7407407407407407,62.59259259259259,11,GRUPO 2 – Situação intermediária,melhora
GO,Goiás,Centro-Oeste,11,2015,2025,43.346363636363634,41.63,49.39,38.28,3.7635176968556228,-0.6319999999999995,-1.6349999999999019,-8.479999999999997,2.823636363636365,5.253636363636365,5,3,1,0.45454545454545453,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.7777777777777778,0.4074074074074074,59.25925925925925,12,GRUPO 2 – Situação intermediária,melhora
PR,Paraná,Sul,11,2015,2025,43.95727272727272,42.800000000000004,46.23,40.68,1.7861639953212072,-0.4185454545454219,-0.38499999999998885,-3.769999999999996,2.709999999999998,5.160000000000001,5,0,0,0.45454545454545453,0.5185185185185185,0.5555555555555556,0.5555555555555556,0.5925925925925926,0.2962962962962963,1.0,56.851851851851855,13,GRUPO 2 – Situação intermediária,melhora
SC,Santa Catarina,Sul,11,2015,2025,44.68181818181818,40.32333333333333,49.97,38.72,3.8037213835448522,-1.08509090909074,-1.9349999999999572,-9.630000000000003,1.8681818181818153,4.318181818181818,6,4,1,0.5454545454545454,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.8518518518518519,0.37037037037037035,48.61111111111111,14,GRUPO 2 – Situação intermediária,melhora
MT,Mato Grosso,Centro-Oeste,11,2015,2025,43.88636363636363,37.18666666666667,57.89,36.25,7.430160526835571,-1.6914545454543322,-0.6099999999999116,-13.46,2.66363636363636,5.113636363636363,6,4,3,0.5454545454545454,0.5555555555555556,0.5185185185185185,0.5185185185185185,0.5,0.4074074074074074,0.07407407407407407,47.12962962962963,15,GRUPO 2 – Situação intermediária,melhora
PE,Pernambuco,Nordeste,11,2015,2025,44.733636363636364,42.14,48.97,40.55,2.882635158070728,-0.6745454545453418,-1.6250000000000555,-4.8799999999999955,1.8163636363636342,4.266363636363637,7,3,0,0.6363636363636364,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.35185185185185186,0.7037037037037037,0.7037037037037037,45.83333333333333,16,GRUPO 2 – Situação intermediária,melhora
MS,Mato Grosso do Sul,Centro-Oeste,11,2015,2025,44.35727272727272,44.68000000000001,48.99,39.13,2.9831194776914014,-0.3239999999999777,-0.21999999999994177,-1.6299999999999955,2.1927272727272697,4.642727272727273,7,3,0,0.6363636363636364,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.35185185185185186,0.18518518518518517,0.6666666666666666,45.09259259259258,17,GRUPO 2 – Situação intermediária,melhora
RS,Rio Grande do Sul,Sul,11,2015,2025,45.15090909090909,44.303333333333335,49.18,41.37,2.311014731867604,-0.29818181818184275,-0.43500000000003586,-5.020000000000003,1.3990909090909058,3.8490909090909087,7,3,1,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.35185185185185186,0.3333333333333333,0.8518518518518519,38.7962962962963,18,GRUPO 2 – Situação intermediária,melhora
RR,Roraima,Norte,11,2015,2025,45.18727272727273,47.116666666666674,49.28,38.28,3.2043161233220765,-0.016272727272788008,-2.2399999999998625,-2.510000000000005,1.3627272727272697,3.8127272727272725,8,4,1,0.7272727272727273,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2222222222222222,0.9629629629629629,0.5925925925925926,38.148148148148145,19,GRUPO 3 – Pior situação fiscal,melhora
AM,Amazonas,Norte,11,2015,2025,44.92090909090909,39.01,49.65,38.09,4.397134190687052,-1.1222727272725408,-1.0399999999999663,-9.889999999999993,1.6290909090909054,4.079090909090908,7,7,1,0.6363636363636364,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.35185185185185186,0.48148148148148145,0.2962962962962963,37.129629629629626,20,GRUPO 3 – Pior situação fiscal,melhora
SE,Sergipe,Nordeste,11,2015,2025,45.32636363636364,41.78666666666666,47.82,40.37,2.689075204330564,-0.7368181818180698,-1.2650000000000612,-6.590000000000003,1.2236363636363605,3.6736363636363634,7,6,0,0.6363636363636364,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.35185185185185186,0.5555555555555556,0.7777777777777778,35.46296296296296,21,GRUPO 3 – Pior situação fiscal,melhora
PB,Paraíba,Nordeste,11,2015,2025,48.344545454545454,46.96333333333334,51.51,44.74,2.1892937840151268,-0.41445454545453714,-1.5699999999997991,-6.769999999999996,-1.7945454545454573,0.6554545454545455,11,9,3,1.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.6296296296296297,0.9259259259259259,26.2962962962963,22,GRUPO 3 – Pior situação fiscal,melhora
RJ,Rio de Janeiro,Sudeste,11,2015,2025,45.642727272727264,46.656666666666666,61.73,33.48,8.255796861489618,-0.08872727272692295,-0.8649999999999386,12.260000000000005,0.9072727272727245,3.3572727272727274,7,4,2,0.6363636363636364,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.35185185185185186,0.4444444444444444,0.037037037037037035,24.537037037037038,23,GRUPO 3 – Pior situação fiscal,melhora
TO,Tocantins,Norte,11,2015,2025,47.35,45.166666666666664,57.89,39.35,5.738222721365911,-1.1089090909089754,-0.27999999999987146,-7.969999999999999,-0.8000000000000043,1.6499999999999986,9,5,3,0.8181818181818182,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.25925925925925924,0.14814814814814814,18.88888888888889,24,GRUPO 3 – Pior situação fiscal,melhora
AC,Acre,Norte,11,2015,2025,49.3890909090909,47.723333333333336,53.86,45.21,3.0444456130647315,-0.1796363636363169,-0.21000000000007435,-0.8099999999999952,-2.8390909090909116,-0.38909090909090854,11,9,4,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.6296296296296297,16.11111111111111,25,GRUPO 3 – Pior situação fiscal,melhora
MG,Minas Gerais,Sudeste,11,2015,2025,51.973636363636366,49.46333333333333,66.65,47.91,5.798703773650236,-0.38599999999986245,-1.5749999999999764,0.3100000000000023,-5.423636363636366,-2.973636363636363,11,11,6,1.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.6666666666666666,0.1111111111111111,13.703703703703704,26,GRUPO 3 – Pior situação fiscal,melhora
RN,Rio Grande do Norte,Nordeste,11,2015,2025,55.053636363636365,56.97,63.64,41.23,5.6346202582379465,0.49418181818171897,-0.26499999999993384,3.8799999999999955,-8.503636363636366,-6.053636363636364,10,10,10,0.9090909090909091,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.2222222222222222,0.18518518518518517,8.703703703703704,27,GRUPO 3 – Pior situação fiscal,melhora
