ano,cod_conta,nomenclaturas_observadas
2015,DespesaComPessoalAtivoBruta,Pessoal Ativo
2015,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2015,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF)
2015,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2015,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2015,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2015,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2015,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2015,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2015,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2015,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b)
2015,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)"
2015,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)"
2015,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)"
2015,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Percentual Trajetória de Retorno ao Limite da Despesa Total com Pessoal
2015,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2016,DespesaComPessoalAtivoBruta,Pessoal Ativo
2016,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2016,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF)
2016,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2016,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2016,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2016,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2016,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2016,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2016,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2016,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (V) = (III a + III b)
2016,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (VIII) = (0,90 x VI) (inciso II do §1º do art. 59 da LRF)"
2016,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VI) (incisos I, II e III, art. 20 da LRF)"
2016,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VII) = (0,95 x VI) (parágrafo único do art. 22 da LRF)"
2016,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Percentual Trajetória de Retorno ao Limite da Despesa Total com Pessoal
2016,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2017,DespesaComPessoalAtivoBruta,Pessoal Ativo
2017,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2017,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF)
2017,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2017,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2017,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2017,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2017,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2017,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2017,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2017,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb)
2017,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF)"
2017,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF)"
2017,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF)"
2017,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Percentual Trajetória de Retorno ao Limite da Despesa Total com Pessoal
2017,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)
2017,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2017,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (V) (§13º, art. 166 da CF)"
2018,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2018,BeneficiosPrevidenciarios,Benefícios Previdenciários
2018,DespesaComPessoalAtivoBruta,Pessoal Ativo
2018,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2018,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização (§ 1º do art. 18 da LRF)
2018,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2018,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2018,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2018,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2018,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2018,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2018,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2018,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb)
2018,DespesasPensoesInativosEPensionistas,Pensões
2018,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF)"
2018,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF)"
2018,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF)"
2018,ObrigacoesPatronais,Obrigações Patronais
2018,OutrosBeneficiosPrevidenciariosInativosEPensionistas,Outros Benefícios Previdenciários
2018,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Percentual Trajetória de Retorno ao Limite da Despesa Total com Pessoal
2018,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)
2018,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2018,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (V) (§13º, art. 166 da CF)"
2018,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
2019,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2019,BeneficiosPrevidenciarios,Benefícios Previdenciários
2019,DespesaComPessoalAtivoBruta,Pessoal Ativo
2019,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2019,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)
2019,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2019,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2019,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2019,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2019,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2019,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2019,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2019,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (VII) = (IIIa + IIIb)
2019,DespesasPensoesInativosEPensionistas,Pensões
2019,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (X) = (0,90 x VIII) (inciso II do §1º do art. 59 da LRF)"
2019,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VIII) (incisos I, II e III, art. 20 da LRF)"
2019,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (IX) = (0,95 x VIII) (parágrafo único do art. 22 da LRF)"
2019,ObrigacoesPatronais,Obrigações Patronais
2019,OutrosBeneficiosPrevidenciariosInativosEPensionistas,Outros Benefícios Previdenciários
2019,PercentualTrajetoriaRetornoAoLimiteDaDespesaTotalComPessoal,Percentual Trajetória de Retorno ao Limite da Despesa Total com Pessoal
2019,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA (VI)
2019,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2019,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais,"(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (V) (§13º, art. 166 da CF)"
2019,VencimentosVantagensEOutrasDespesasVariaveis,"Vencimentos, Vantagens e Outras Despesas Variáveis"
2020,AposentadoriasReservaEReformas,"Aposentadorias, Reserva e Reformas"
2020,BeneficiosPrevidenciarios,Benefícios Previdenciários
2020,DespesaComPessoalAtivoBruta,Pessoal Ativo
2020,DespesaComPessoalAtivoBrutaEnteConsorciado,Pessoal Ativo
2020,DespesaComPessoalBruta,DESPESA BRUTA COM PESSOAL (I)
2020,DespesaComPessoalBrutaEnteConsorciado,DESPESA BRUTA COM PESSOAL (I)
2020,DespesaComPessoalDecorrenteDeTerceirizacaoPorSubstituicaoBruta,Outras Despesas de Pessoal decorrentes de Contratos de Terceirização ou de contratação de forma indireta (§ 1º do art. 18 da LRF)
2020,DespesaComPessoalInativoEPensionistasBruta,Pessoal Inativo e Pensionistas
2020,DespesaComPessoalLiquida,DESPESA LÍQUIDA COM PESSOAL (III) = (I - II)
2020,DespesaComPessoalNaoComputada,DESPESAS NÃO COMPUTADAS (§ 1º do art. 19 da LRF) (II)
2020,DespesaComPessoalNaoComputadaDecisaoJudicialPeriodoAnteriorAoDaApuracao,Decorrentes de Decisão Judicial de Período Anterior ao da Apuração
2020,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
