ano,ranking_ano,UF,nome_estado,DTP_RCL,Limite_Alerta,Limite_Prudencial,Limite_Maximo,situacao_fiscal
2015,1.0,RJ,Rio de Janeiro,33.48,44.1,46.55,49.0,confortável
2015,2.0,PI,Piauí,42.7,44.1,46.55,49.0,confortável
2015,3.0,MA,Maranhão,42.87,44.1,46.55,49.0,confortável
2015,4.0,ES,Espírito Santo,43.39,44.1,46.55,49.0,atenção
2015,5.0,AP,Amapá,43.42,44.1,46.55,49.0,atenção
2015,6.0,RO,Rondônia,44.39,44.1,46.55,49.0,alerta
2015,7.0,MS,Mato Grosso do Sul,45.83,44.1,46.55,49.0,alerta
2015,8.0,CE,Ceará,45.93,43.74,46.17,48.6,alerta
2015,9.0,PE,Pernambuco,46.19,44.1,46.55,49.0,alerta
2015,10.0,PR,Paraná,46.23,44.1,46.55,49.0,alerta
2015,11.0,SP,São Paulo,46.28,44.1,46.55,49.0,alerta
2015,12.0,DF,Distrito Federal,46.78,44.1,46.55,49.0,acima do limite prudencial
2015,13.0,RR,Roraima,47.31,44.1,46.55,49.0,acima do limite prudencial
2015,14.0,PA,Pará,47.33,43.74,46.17,48.6,acima do limite prudencial
2015,15.0,BA,Bahia,47.61,,,,confortável
2015,16.0,SE,Sergipe,47.82,44.1,46.55,49.0,acima do limite prudencial
2015,17.0,MG,Minas Gerais,47.91,44.1,46.55,49.0,acima do limite prudencial
2015,18.0,AM,Amazonas,47.98,44.1,46.55,49.0,acima do limite prudencial
2015,19.0,AL,Alagoas,48.35,44.1,46.55,49.0,acima do limite prudencial
2015,19.0,SC,Santa Catarina,48.35,44.1,46.55,49.0,acima do limite prudencial
2015,21.0,GO,Goiás,48.44,43.74,46.17,48.6,acima do limite prudencial
2015,22.0,AC,Acre,48.8,44.1,46.55,49.0,acima do limite prudencial
2015,23.0,RS,Rio Grande do Sul,49.18,44.1,46.55,49.0,acima do limite máximo
2015,24.0,MT,Mato Grosso,49.74,44.1,46.55,49.0,acima do limite máximo
2015,25.0,PB,Paraíba,51.51,44.1,46.55,49.0,acima do limite máximo
2015,26.0,TO,Tocantins,52.28,44.1,46.55,49.0,acima do limite máximo
2015,27.0,RN,Rio Grande do Norte,52.53,44.1,46.55,49.0,acima do limite máximo
2016,1.0,AP,Amapá,38.97,44.1,46.55,49.0,confortável
2016,2.0,MA,Maranhão,38.98,44.1,46.55,49.0,confortável
2016,3.0,CE,Ceará,40.68,43.74,46.17,48.6,confortável
2016,4.0,PI,Piauí,41.6,44.1,46.55,49.0,confortável
2016,5.0,RO,Rondônia,41.68,44.1,46.55,49.0,confortável
2016,6.0,RR,Roraima,42.68,44.1,46.55,49.0,confortável
2016,7.0,MS,Mato Grosso do Sul,43.15,44.1,46.55,49.0,atenção
2016,8.0,ES,Espírito Santo,43.33,44.1,46.55,49.0,atenção
2016,9.0,RS,Rio Grande do Sul,44.1,44.1,46.55,49.0,atenção
2016,10.0,PA,Pará,44.62,43.74,46.17,48.6,alerta
2016,11.0,AC,Acre,45.21,44.1,46.55,49.0,alerta
